Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link,Method Code No Comments,Tokens
master,430195a4c39fb8e8f1ad7ce63a519774962a8d35,ExampleInstrumentedTest.java,useAppContext,"    public void useAppContext() throws Exception {
        // Context of the app under test.
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""com.amrdeveloper.reactbuttonlibrary"", appContext.getPackageName());
    }",https://www.github.com/amrdeveloper/reactbutton/commit/430195a4c39fb8e8f1ad7ce63a519774962a8d35,"    public void useAppContext() throws Exception {
        
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""com.amrdeveloper.reactbuttonlibrary"", appContext.getPackageName());
    }
","['    ', 'public', ' ', 'void', ' ', 'useAppContext', '(', ')', ' ', 'throws', ' ', 'Exception', ' ', '{', '\n', '        ', '\n', '        ', 'Context', ' ', 'appContext', ' ', '=', ' ', 'InstrumentationRegistry', '.', 'getTargetContext', '(', ')', ';', '\n', '\n', '        ', 'assertEquals', '(', '""', 'com.amrdeveloper.reactbuttonlibrary', '""', ',', ' ', 'appContext', '.', 'getPackageName', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,430195a4c39fb8e8f1ad7ce63a519774962a8d35,MainActivity.java,onCreate,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_main);
    }",https://www.github.com/amrdeveloper/reactbutton/commit/430195a4c39fb8e8f1ad7ce63a519774962a8d35,"    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_main);
    }
","['    ', 'protected', ' ', 'void', ' ', 'onCreate', '(', 'Bundle', ' ', 'savedInstanceState', ')', ' ', '{', '\n', '        ', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', '\n', '        ', 'setContentView', '(', 'R', '.', 'layout', '.', 'activity_main', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,430195a4c39fb8e8f1ad7ce63a519774962a8d35,ExampleInstrumentedTest.java,useAppContext,"    public void useAppContext() throws Exception {
        // Context of the app under test.
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""com.amrdeveloper.reactbutton.test"", appContext.getPackageName());
    }",https://www.github.com/amrdeveloper/reactbutton/commit/430195a4c39fb8e8f1ad7ce63a519774962a8d35,"    public void useAppContext() throws Exception {
        
        Context appContext = InstrumentationRegistry.getTargetContext();

        assertEquals(""com.amrdeveloper.reactbutton.test"", appContext.getPackageName());
    }
","['    ', 'public', ' ', 'void', ' ', 'useAppContext', '(', ')', ' ', 'throws', ' ', 'Exception', ' ', '{', '\n', '        ', '\n', '        ', 'Context', ' ', 'appContext', ' ', '=', ' ', 'InstrumentationRegistry', '.', 'getTargetContext', '(', ')', ';', '\n', '\n', '        ', 'assertEquals', '(', '""', 'com.amrdeveloper.reactbutton.test', '""', ',', ' ', 'appContext', '.', 'getPackageName', '(', ')', ')', ';', '\n', '    ', '}', '\n', '<END>']"
master,430195a4c39fb8e8f1ad7ce63a519774962a8d35,ReactButton.java,onClick,"    public void onClick(View view) {
        //Code When User Click On Button
        //If State is true , dislike The Button And Return To Default State
        if(reactState){
            reactState = false;",https://www.github.com/amrdeveloper/reactbutton/commit/430195a4c39fb8e8f1ad7ce63a519774962a8d35,"    public void onClick(View view) {
        
        
        if(reactState){
            reactState = false;
","['    ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'view', ')', ' ', '{', '\n', '        ', '\n', '        ', '\n', '        ', 'if', '(', 'reactState', ')', '{', '\n', '            ', 'reactState', ' ', '=', ' ', 'false', ';', '\n', '<END>']"
master,430195a4c39fb8e8f1ad7ce63a519774962a8d35,ReactButton.java,onClick,"            public void onClick(View view) {
                reactState = true;
                emojiType = ReactConstance.LIKE_TEXT;
                reactButton.setText(emojiType);
                reactButton.setTextColor(ReactConstance.getColor(ReactConstance.BLUE));
                reactButton.setCompoundDrawablesWithIntrinsicBounds(R.mipmap.reactbutton_like,0,0,0);
                alertDialog.dismiss();
            }",https://www.github.com/amrdeveloper/reactbutton/commit/430195a4c39fb8e8f1ad7ce63a519774962a8d35,"            public void onClick(View view) {
                reactState = true;
                emojiType = ReactConstance.LIKE_TEXT;
                reactButton.setText(emojiType);
                reactButton.setTextColor(ReactConstance.getColor(ReactConstance.BLUE));
                reactButton.setCompoundDrawablesWithIntrinsicBounds(R.mipmap.reactbutton_like,0,0,0);
                alertDialog.dismiss();
            }
","['            ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'view', ')', ' ', '{', '\n', '                ', 'reactState', ' ', '=', ' ', 'true', ';', '\n', '                ', 'emojiType', ' ', '=', ' ', 'ReactConstance', '.', 'LIKE_TEXT', ';', '\n', '                ', 'reactButton', '.', 'setText', '(', 'emojiType', ')', ';', '\n', '                ', 'reactButton', '.', 'setTextColor', '(', 'ReactConstance', '.', 'getColor', '(', 'ReactConstance', '.', 'BLUE', ')', ')', ';', '\n', '                ', 'reactButton', '.', 'setCompoundDrawablesWithIntrinsicBounds', '(', 'R', '.', 'mipmap', '.', 'reactbutton_like', ',', '0', ',', '0', ',', '0', ')', ';', '\n', '                ', 'alertDialog', '.', 'dismiss', '(', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,430195a4c39fb8e8f1ad7ce63a519774962a8d35,ReactButton.java,onClick,"            public void onClick(View view) {
                reactState = true;
                emojiType = ReactConstance.SMILE_TEXT;
                reactButton.setText(emojiType);
                reactButton.setTextColor(ReactConstance.getColor(ReactConstance.YELLOW_HAHA));
                reactButton.setCompoundDrawablesWithIntrinsicBounds(R.mipmap.reactbutton_haha,0,0,0);
                alertDialog.dismiss();
",https://www.github.com/amrdeveloper/reactbutton/commit/430195a4c39fb8e8f1ad7ce63a519774962a8d35,"            public void onClick(View view) {
                reactState = true;
                emojiType = ReactConstance.SMILE_TEXT;
                reactButton.setText(emojiType);
                reactButton.setTextColor(ReactConstance.getColor(ReactConstance.YELLOW_HAHA));
                reactButton.setCompoundDrawablesWithIntrinsicBounds(R.mipmap.reactbutton_haha,0,0,0);
                alertDialog.dismiss();
","['            ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'view', ')', ' ', '{', '\n', '                ', 'reactState', ' ', '=', ' ', 'true', ';', '\n', '                ', 'emojiType', ' ', '=', ' ', 'ReactConstance', '.', 'SMILE_TEXT', ';', '\n', '                ', 'reactButton', '.', 'setText', '(', 'emojiType', ')', ';', '\n', '                ', 'reactButton', '.', 'setTextColor', '(', 'ReactConstance', '.', 'getColor', '(', 'ReactConstance', '.', 'YELLOW_HAHA', ')', ')', ';', '\n', '                ', 'reactButton', '.', 'setCompoundDrawablesWithIntrinsicBounds', '(', 'R', '.', 'mipmap', '.', 'reactbutton_haha', ',', '0', ',', '0', ',', '0', ')', ';', '\n', '                ', 'alertDialog', '.', 'dismiss', '(', ')', ';', '\n', '<END>']"
master,a44c0a05a164fd4421768d7713666f9e6b3b6091,ReactButton.java,onClickLikeAndDisLike,"    private void onClickLikeAndDisLike(){
        //Code When User Click On Button
        //If State is true , dislike The Button And Return To Default State
        if(reactState){
            reactState = false;",https://www.github.com/amrdeveloper/reactbutton/commit/a44c0a05a164fd4421768d7713666f9e6b3b6091,"    private void onClickLikeAndDisLike(){
        
        
        if(reactState){
            reactState = false;
","['    ', 'private', ' ', 'void', ' ', 'onClickLikeAndDisLike', '(', ')', '{', '\n', '        ', '\n', '        ', '\n', '        ', 'if', '(', 'reactState', ')', '{', '\n', '            ', 'reactState', ' ', '=', ' ', 'false', ';', '\n', '<END>']"
master,a44c0a05a164fd4421768d7713666f9e6b3b6091,ReactButton.java,onClick,"            public void onClick(View view) {
                //The Developer OnClick Code
                currentListener.onClick(view);
                //The Library OnClick
                onClickLikeAndDisLike();
            }",https://www.github.com/amrdeveloper/reactbutton/commit/a44c0a05a164fd4421768d7713666f9e6b3b6091,"            public void onClick(View view) {
                
                currentListener.onClick(view);
                
                onClickLikeAndDisLike();
            }
","['            ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'view', ')', ' ', '{', '\n', '                ', '\n', '                ', 'currentListener', '.', 'onClick', '(', 'view', ')', ';', '\n', '                ', '\n', '                ', 'onClickLikeAndDisLike', '(', ')', ';', '\n', '            ', '}', '\n', '<END>']"
master,a44c0a05a164fd4421768d7713666f9e6b3b6091,ReactButton.java,onLongClick,"            public boolean onLongClick(View view) {
                //Developer Current Code
                currentLongClick.onLongClick(view);
                //Library OnClick Code
                onLongClickDialog();
                return true;
            }",https://www.github.com/amrdeveloper/reactbutton/commit/a44c0a05a164fd4421768d7713666f9e6b3b6091,"            public boolean onLongClick(View view) {
                
                currentLongClick.onLongClick(view);
                
                onLongClickDialog();
                return true;
            }
","['            ', 'public', ' ', 'boolean', ' ', 'onLongClick', '(', 'View', ' ', 'view', ')', ' ', '{', '\n', '                ', '\n', '                ', 'currentLongClick', '.', 'onLongClick', '(', 'view', ')', ';', '\n', '                ', '\n', '                ', 'onLongClickDialog', '(', ')', ';', '\n', '                ', 'return', ' ', 'true', ';', '\n', '            ', '}', '\n', '<END>']"
master,3eaebc03428eef8a3d1c4c7a354d10f3494364e5,ReactButton.java,onClick,"            public void onClick(View view) {
                //The Library OnClick
                onClickLikeAndDisLike();
                //The Developer OnClick Code
                currentListener.onClick(view);
            }",https://www.github.com/amrdeveloper/reactbutton/commit/3eaebc03428eef8a3d1c4c7a354d10f3494364e5,"            public void onClick(View view) {
                
                onClickLikeAndDisLike();
                
                currentListener.onClick(view);
            }
","['            ', 'public', ' ', 'void', ' ', 'onClick', '(', 'View', ' ', 'view', ')', ' ', '{', '\n', '                ', '\n', '                ', 'onClickLikeAndDisLike', '(', ')', ';', '\n', '                ', '\n', '                ', 'currentListener', '.', 'onClick', '(', 'view', ')', ';', '\n', '            ', '}', '\n', '<END>']"
